track_id,track_name,artists,popularity
0U45AuIBSdtlQw9wmyliPv,"Brandenburg Concerto No. 3 in G Major, BWV 1048: I. Allegro Moderato","Johann Sebastian Bach, Richard Hein, The City of Prague Philharmonic Orchestra",35
2fSOS5FGZBTaPbWnU6nMGj,The Nutcracker Op. 71 I. Overture,"Pyotr Ilyich Tchaikovsky, Czech Symphony Orchestra, Michaela Rózsa Růžičková",39
3zLTPuucd3e6TxZnu2dlVS,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""","Ludwig van Beethoven, Igor Levit",63
2UYJSQIulK0tGl1m94P0Iz,"Suite Bergamasque, L. 75: IV. Passepied (arr. for harp and guitar)","Claude Debussy, Duo Multicorde, Andrés Madariaga, Maria-Theresa Freibott",35
0gvtmhlBS4wMwDogJrohPf,"Wachet auf, ruft uns die Stimme, BWV 645 ('Sleepers, Awake')","Johann Sebastian Bach, Aleš Bárta",32
5to42me5301ochDzLEDeJv,"Le nozze di Figaro, K.492: Overture","Wolfgang Amadeus Mozart, Czech Symphony Orchestra, Michaela Rózsa Růžičková",37
6pfNtqXWmvkYk5CEHFS8hN,Sonata Romántica: 2. ﻿Andante espressivo,"Manuel Ponce, Andrés Madariaga",30
7pvWQrFixkvvuAhPLQCxnw,"Waldszenen, Op.82: No. 9 Abschied","Robert Schumann, Audrey Abela",31
2ZjhhB3kZP6Zufmjuv2TWC,"String Quartet No. 13 in B-Flat Major, Op. 130: II. Presto","Ludwig van Beethoven, Kodály Quartet",53
2AesyFXaHB5kI0s6zCNPaR,Gymnopédie No.1,"Erik Satie, Andrés Madariaga",36
4fCgUwtcBQJycmvgeDU4tn,"La plus que lente, L. 121 (arr. for violin & harp)","Claude Debussy, Lily Honigberg, Sonia Bize",35
0Sj2yF2jNjDg8FeWPSv76H,"Consolation No. 3, S.172/3: Lento placido","Franz Liszt, Maria-Theresa Freibott",33
16AtEuLpkzUg1BLSugpHE6,Gymnopédie No.1,"Erik Satie, Mimosa",42
443XgjmyEKbR8gpB6d3jZX,"Cello Suite No. 3 in C Major, BWV 1009: V. Menuetts I & II","Johann Sebastian Bach, Nostitz Quartet",33
4FXl8rYY8TdewKu7ZNeBXP,"Symphony No. 9 in D Minor, Op. 125 ""Choral"": IVa-b. Presto – Allegro assai","Ludwig van Beethoven, Berliner Philharmoniker, Herbert von Karajan",50
2jHII9R7XGcvWtCi12zPia,"Nocturne (arr. for violin and harp, from Two pieces for violin and piano)","Lili Boulanger, Shannon Lee, Sonia Bize",34
5nYsSl06nZmMjXiAd5NsL2,Cavatina: Danza Pomposa,"Alexandre Tansman, Andrés Madariaga",30
4bu1PfsyMWmi3Dvf0eUBQa,"1812 Overture, Op. 49","Pyotr Ilyich Tchaikovsky, The City of Prague Philharmonic Orchestra, Friedmann Riehle",41
5yyWkqPnm6pXSLmKXbW6dB,"Violin Concerto In D Major, Op. 35, TH.59: I. Allegro moderato","Pyotr Ilyich Tchaikovsky, Hilary Hahn, Royal Liverpool Philharmonic Orchestra, Vasily Petrenko",41
7M6g8OjANjibSLdupnTXO2,"Les chemins de l'amour, ""The Paths of Love"" (Arr. for Flute and Piano)","Francis Poulenc, Annie Wu, Markus Kaitila",33
7jBaUnodzhFJCMaPRC4cD7,"6 Chants polonais, S. 480: No. 2, Frühling (Wiosna, Spring) [After Chopin's Op. 74]","Franz Liszt, Joseph Banowetz",41
5y4lSt7RzBCxt5JjQUEKAp,Chôros No. 1,"Heitor Villa-Lobos, Andrés Madariaga",35
24LdPJaZBaAxeXb2oRptZ5,"Lyric Pieces Book V, Op. 54: 4. Notturno","Edvard Grieg, Arseniy Gusev",33
75ZU1MRLVhhi72xu1F2S4Z,"II. Passacaglia ""Death of Falstaff""","William Walton, Michaela Rózsa Růžičková, Czech Symphony Orchestra",35
4Qs9FqBjUbiqRdimNv19pK,Recuerdos de la Alhambra,"Francisco Tárrega, Andrés Madariaga",34
6gLiQzykZSEK61kn9hcpA2,Polovetsian Dances from Prince Igor: Introduzione,"Alexander Borodin, Czech Symphony Orchestra, Michaela Rózsa Růžičková, Czech Symphony Choir",34
6Diu79lAE3lzruk4m8lsZE,Saudade (When We Are Born) (arr. for two guitars by Joseph Ehrenpreis),"Ólafur Arnalds, Joseph Ehrenpreis, Harry Long Ngo",0
4TxI1X3y95Qh7koRujxc2H,Fantasia op. 19,"Luigi Legnani, Andrés Madariaga",29
212LgmmTg9GSit1xxoANCw,"Messiah, HWV 56, Pt. 2: Hallelujah Chorus","The City of Prague Philharmonic Orchestra, Richard Hein, The City of Prague Choir",32
0gwUKD0A74nv2a8DyJMaQd,saman (arr. for 8-string guitar by Joseph Ehrenpreis),"Ólafur Arnalds, Joseph Ehrenpreis",0
2I32YvCQa04JV02VkAwfzz,Trois morceaux pour piano: II. D'un jardin clair,"Lili Boulanger, Arseniy Gusev",33
6u52YFNzMW3piEgfozfBDi,Tomorrow’s Song (arr. for 8-string guitar by Joseph Ehrenpreis),"Ólafur Arnalds, Joseph Ehrenpreis",31
7FsksSVGUecef3IeSPEjp9,"Pavane pour une infante défunte, M. 19","Maurice Ravel, Arseniy Gusev",34
0GCWMoScbiz6kJyIouO9n6,Erla’s Waltz (arr. for 8-string guitar by Joseph Ehrenpreis),"Ólafur Arnalds, Joseph Ehrenpreis",30
0x7NY7o4CbobywiGrPR80T,Constellation of Future Memories (Constelación de los Recuerdos Futuros),Julián Fueyo,37
5nx6sVARekceMguOR1BtCR,"Cantata, BWV 208 ""Sheep May Safely Graze""","The City of Prague Philharmonic Chamber Group, Richard Hein",33
1EjfCGPicAauZwnbFrTczK,"Egmont Overture, Op. 84 - 2018 Remastered Version","Ludwig van Beethoven, George Szell, The Cleveland Orchestra",43
1930AH4hS9RcKP5K6QeqiO,"Piano Sonata No. 10 In C Major: I. Allegro Moderato, K. 330","Wolfgang Amadeus Mozart, Vaclav Macha",31
3nSBqN1Ml2s14g9UdHAoxA,"Symphony No. 9 Op. 95 ""New World Symphony"" IV. Allegro Con Fuoco","Antonín Dvořák, The City of Prague Philharmonic Orchestra, Richard Hein",37
5gHfUAG18OPg8FGvvDuSXV,"Elves from Enfantines, B. 49 (arr. for harp)","Ernest Bloch, Sonia Bize",33
2F8zvO8WFzQPGTgeh54Yqv,O Euchari in leta via,"Hildegard von Bingen, Elizaveta Kozlova",33
2iT8S8BNPaQwzp6HHnz42h,belong,Jonas Hoffmann,33
1Sjrt5860is34jNmAdjl5W,Barcarolle,"Jacques Offenbach, Czech Symphony Orchestra, Michaela Rózsa Růžičková",34
4HxVnQIwUu3yzS21nQIhCC,"Má Vlast: Vltava ""Die Moldau""","Bedřich Smetana, The City of Prague Philharmonic Orchestra, Richard Hein",34
7deA9LoAMx6C9JRbASnKYs,Liz On Top Of the World (Arr. for flute and piano by Emily Mussio Marquez),"Dario Marianelli, Annie Wu, Markus Kaitila",30
3Dgmyz32dxvtxvUTPS0CUI,"Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156 by F. Christl)","Antonio Vivaldi, Florian Christl",64
3766ThQKYzY9qy1GmyxJPg,"Prélude, Fugue et Variation, Op. 18: Prélude (Arr. Bauer)","César Franck, Arseniy Gusev",31
2Vx6w1wdPFOpvlKcvc5tOU,Sylvia: Act 3: Divertissement: Variation - Valse,"Léo Delibes, Czech Symphony Orchestra, Michaela Rózsa Růžičková",33
1H13qxYSSuQbvUeMULo7PG,Tifa's Theme (Final Fantasy - Piano Version),Adriano Spampanato,33
6U74ioZa7akBibzOQ2vYxC,"8 Etudes, Op. 42: No. 3 in F-Sharp Major","Alexander Scriabin, Arseniy Gusev",30
38i9AcDWET06jWJ1Kyrdt3,Songs My Mother Taught Me,"Annie Wu, Markus Kaitila",31
7iuQGhnoAwHUJj7PSNSzSV,"The Nutcracker, Op. 71, Act II, Scene XII: Trepak (Russian Dance)","The City of Prague Philharmonic Orchestra, Friedmann Riehle",37
3Fa9yQLAWOGIgsZ0BFBzLV,El Testament D'amèlia,"Miguel Llobet Solés, Andrés Madariaga",32
1ZauqNrrbC4pYMwMtA2S27,Serenade for Strings in E Major II. Waltz Op. 22,"Antonín Dvořák, The City of Prague Philharmonic Orchestra, Richard Hein",36
1ZKfC5G9lYZ38agIuiGYCY,"The Nutcracker, Op. 71, Act II, Scene XV: Dance of the Sugar-Plum Fairy","The City of Prague Philharmonic Orchestra, Richard Hein",36
1ParFlOM2MXGhpIXC71l9V,O rubor sanguinis,"Hildegard von Bingen, Elizaveta Kozlova",33
5U4cJvnoZRGmgPiTH23kwP,Angels We Have Heard on High,"Czech Symphony Brass Group, Czech Symphony Orchestra",29
3uDQ8Azc1yMnOTfEGaJ5kh,A Long Line,"Buck McDaniel, Julia Henderson, Sonia Bize",31
7nwoproTk1PVDCbJ7sxS6E,"Waltz in A-Flat Major, Op. 42","Frédéric Chopin, Audrey Abela",33
0bblIMGFIuQAwx29z86oRi,"Cantata, BWV 147: Jesu, Joy of Man's Desiring","The City of Prague Philharmonic Orchestra, Richard Hein, The City of Prague Choir",31
5X6dxHyKrguHpYhe4AI7cj,"Salut d'Amour, Op.12","Edward Elgar, Czech Symphony Orchestra, Michaela Rózsa Růžičková",33
1opYoyv6nJuxTsLARXVBcS,Polaris,José Salinas,34
3UOYljFR8iflxyvB1jx3nu,María Gavota,"Francisco Tárrega, Andrés Madariaga",32
6LG4mo88s1W4NVgoCg8BN7,Un Día de Noviembre,"Leo Brouwer, Andrés Madariaga",32
4FF3qCphmN2lansgG42lnm,Promenade,José Salinas,33
7elGa98KXTWCCkvbHVjMs3,"Concerto No. 1 in E Major, Op. 8, RV 269, “La primavera” (Spring) : I. Allegro","Antonio Vivaldi, The City of Prague Philharmonic Chamber Group, Richard Hein, The City of Prague Philharmonic Orchestra, Vlastimil Kobrie",40
